seed,center,dup,f1
1,0.5,0.75,0.6141348497156783
1,0.5,1.0,0.6302325581395349
1,0.5,1.25,0.6195864221615295
1,0.5,1.5,0.6235654169854629
1,0.4,0.75,0.5709057639524245
1,0.4,1.0,0.5814360770577933
1,0.4,1.25,0.5981873111782477
1,0.4,1.5,0.5968763191219923
1,0.35,0.75,0.5124808965868568
1,0.35,1.0,0.5547652916073968
1,0.35,1.25,0.5738161559888579
1,0.35,1.5,0.5528152629129828
1,0.3,0.75,0.46951871657754013
1,0.3,1.0,0.5073866530820174
1,0.3,1.25,0.5303482587064676
1,0.3,1.5,0.5351006381934217
2,0.5,0.75,0.6144927536231884
2,0.5,1.0,0.6300395256916996
2,0.5,1.25,0.6360062893081762
2,0.5,1.5,0.6328725038402457
2,0.4,0.75,0.5908273381294964
2,0.4,1.0,0.6300553426990209
2,0.4,1.25,0.6235837180025179
2,0.4,1.5,0.6227889757301522
2,0.35,0.75,0.5707456978967496
2,0.35,1.0,0.5702441271303547
2,0.35,1.25,0.5938349954669084
2,0.35,1.5,0.5851015801354402
2,0.3,0.75,0.5131919296430419
2,0.3,1.0,0.5448172258387581
2,0.3,1.25,0.5385749385749385
2,0.3,1.5,0.5537712895377129
3,0.5,0.75,0.6302146618063994
3,0.5,1.0,0.6449386503067485
3,0.5,1.25,0.630686198920586
3,0.5,1.5,0.6443514644351465
3,0.4,0.75,0.5973791233619521
3,0.4,1.0,0.6164442531209643
3,0.4,1.25,0.6197183098591549
3,0.4,1.5,0.6194690265486725
3,0.35,0.75,0.5532969757064948
3,0.35,1.0,0.5707524846190251
3,0.35,1.25,0.5798319327731093
3,0.35,1.5,0.5835250805338242
3,0.3,0.75,0.462891698735569
3,0.3,1.0,0.48380355276907
3,0.3,1.25,0.5330049261083744
3,0.3,1.5,0.528793189784677
