seed,selection,n_labels,f1
1,random,500,0.5296068214116533
1,random,1000,0.5642889595638346
1,random,1500,0.6060865837976854
1,random,2000,0.6
1,random,2500,0.5992184107685627
1,random,3000,0.5923374946190271
1,random,3500,0.6022530329289428
1,random,4000,0.5994787141615986
1,random,4500,0.6018158236057068
1,random,5000,0.6186621218576907
1,random,5500,0.6046908315565032
1,uncertainty,500,0.5296068214116533
1,uncertainty,1000,0.5992248062015504
1,uncertainty,1500,0.6204019719378081
1,uncertainty,2000,0.6267496111975117
1,uncertainty,2500,0.6239685658153241
1,uncertainty,3000,0.6283255086071987
1,uncertainty,3500,0.6260601387818041
1,uncertainty,4000,0.6264875239923224
1,uncertainty,4500,0.6307751050019091
1,uncertainty,5000,0.6231155778894473
1,uncertainty,5500,0.6302325581395349
1,mixed,500,0.5296068214116533
1,mixed,1000,0.60994560994561
1,mixed,1500,0.6278240190249703
1,mixed,2000,0.6198313930148535
1,mixed,2500,0.6194690265486725
1,mixed,3000,0.6153232242617718
1,mixed,3500,0.6239554317548747
1,mixed,4000,0.6289358310083699
1,mixed,4500,0.6325878594249201
1,mixed,5000,0.6181229773462783
1,mixed,5500,0.6213355048859935
2,random,500,0.5519176800748363
2,random,1000,0.5467557251908397
2,random,1500,0.5498783454987834
2,random,2000,0.585886722376973
2,random,2500,0.5962230215827338
2,random,3000,0.5981818181818181
2,random,3500,0.6108897742363878
2,random,4000,0.6223194748358862
2,random,4500,0.6263157894736842
2,random,5000,0.6052986079928154
2,random,5500,0.6168141592920354
2,uncertainty,500,0.5519176800748363
2,uncertainty,1000,0.6189669771380186
2,uncertainty,1500,0.6271119842829077
2,uncertainty,2000,0.6326454033771107
2,uncertainty,2500,0.6250944822373394
2,uncertainty,3000,0.6232102486812359
2,uncertainty,3500,0.6208749040675364
2,uncertainty,4000,0.6211709965102753
2,uncertainty,4500,0.6214201647704982
2,uncertainty,5000,0.635833657209483
2,uncertainty,5500,0.6300395256916996
2,mixed,500,0.5519176800748363
2,mixed,1000,0.6064063185607723
2,mixed,1500,0.6131078224101479
2,mixed,2000,0.6289987536352306
2,mixed,2500,0.6265848670756646
2,mixed,3000,0.6351896690879741
2,mixed,3500,0.6320830007980845
2,mixed,4000,0.6322887742959143
2,mixed,4500,0.6476785017557549
2,mixed,5000,0.6329214826624153
2,mixed,5500,0.6402849228333993
3,random,500,0.5017667844522968
3,random,1000,0.5796296296296296
3,random,1500,0.5947176684881603
3,random,2000,0.5907441016333939
3,random,2500,0.6010830324909747
3,random,3000,0.6137566137566137
3,random,3500,0.6098974587605885
3,random,4000,0.6088105726872247
3,random,4500,0.6149095721217468
3,random,5000,0.6237970253718286
3,random,5500,0.6101843722563652
3,uncertainty,500,0.5017667844522968
3,uncertainty,1000,0.6172284644194757
3,uncertainty,1500,0.6104513064133017
3,uncertainty,2000,0.6418315871168024
3,uncertainty,2500,0.6379901027788352
3,uncertainty,3000,0.6429400386847195
3,uncertainty,3500,0.6337321497491316
3,uncertainty,4000,0.6444874274661508
3,uncertainty,4500,0.6363636363636364
3,uncertainty,5000,0.6527938342967244
3,uncertainty,5500,0.6449386503067485
3,mixed,500,0.5017667844522968
3,mixed,1000,0.6243512974051896
3,mixed,1500,0.6390715667311412
3,mixed,2000,0.635257165292501
3,mixed,2500,0.6432474629195941
3,mixed,3000,0.636967565455256
3,mixed,3500,0.6359300476947536
3,mixed,4000,0.6522954091816368
3,mixed,4500,0.6268418956591
3,mixed,5000,0.6318327974276527
3,mixed,5500,0.6406374501992032
