seed,dup,cv_f1,test_f1
1,0.5,0.5760354027975166,0.6023166023166023
1,0.75,0.5966700017208194,0.6141348497156783
1,1.0,0.6152491559799979,0.6302325581395349
1,1.25,0.6139923547220763,0.6195864221615295
1,1.5,0.6182010418280975,0.6235654169854629
1,2.0,0.6271712127343404,0.6231830040998881
2,0.5,0.576143725975086,0.6032423208191127
2,0.75,0.5962517346765154,0.6144927536231884
2,1.0,0.6073005220768074,0.6300395256916996
2,1.25,0.6051045026030315,0.6360062893081762
2,1.5,0.6152749451864535,0.6328725038402457
2,2.0,0.6263494731393445,0.6398510242085661
3,0.5,0.5819027324972214,0.6219974715549936
3,0.75,0.6008119580739576,0.6302146618063994
3,1.0,0.618642909704088,0.6449386503067485
3,1.25,0.6187352312086957,0.630686198920586
3,1.5,0.6259975616405674,0.6443514644351465
3,2.0,0.6312851555905632,0.6468401486988847
