seed,dup,cv_f1,test_f1
1,1.0,0.6267927179030272,0.6254948535233571
1,1.25,0.6221614049969779,0.6309616888193902
1,1.5,0.626916528716395,0.6313740755157649
1,1.75,0.6314410468316554,0.632144227080936
1,2.0,0.6288935131199722,0.637329286798179
1,2.25,0.6323430275869686,0.6316989737742303
1,2.5,0.6346159839312212,0.6351963746223565
1,3.0,0.631407728924198,0.6328066215199398
2,1.0,0.6147024959377285,0.6433781190019194
2,1.25,0.6253649638462551,0.6367851622874807
2,1.5,0.6177526242171549,0.6421809920484665
2,1.75,0.6254630919946468,0.6464047442550037
2,2.0,0.6261052395556698,0.6423841059602649
2,2.25,0.6326287753039631,0.6453038674033149
2,2.5,0.62852080714297,0.6419934041773543
2,3.0,0.6299166830630379,0.6364985163204748
3,1.0,0.6120804355477998,0.6504511573165948
3,1.25,0.6155725591132863,0.64
3,1.5,0.6214483146782891,0.6510903426791277
3,1.75,0.623434377370191,0.6440938822624086
3,2.0,0.630043385654029,0.6443104747550866
3,2.25,0.621614601904806,0.6448420251237152
3,2.5,0.6223554197368897,0.6435307431158054
3,3.0,0.625980097689419,0.6392523364485981
