seed,variant,f1
1,initial 500 only,0.4197814836112708
1,random 5000,0.5659824046920822
1,uncertainty 5000,0.5810108644307983
1,uncertainty + rebalance (final),0.6254948535233571
2,initial 500 only,0.4009351256575102
2,random 5000,0.5624683864441072
2,uncertainty 5000,0.5795880149812734
2,uncertainty + rebalance (final),0.6423841059602649
3,initial 500 only,0.3997620464009518
3,random 5000,0.5613326602725897
3,uncertainty 5000,0.5932047750229569
3,uncertainty + rebalance (final),0.6443104747550866
