seed,filter,dup,f1,removed
1,no_filter,1.5,0.6313740755157649,0
1,no_filter,2.0,0.637329286798179,0
1,no_filter,2.5,0.6351963746223565,0
1,t0.80,1.5,0.6155038759689923,2
1,t0.80,2.0,0.6273174423004162,2
1,t0.80,2.5,0.6370481927710844,2
1,t0.90,1.5,0.6313740755157649,0
1,t0.90,2.0,0.637329286798179,0
1,t0.90,2.5,0.6351963746223565,0
1,t0.95,1.5,0.6313740755157649,0
1,t0.95,2.0,0.637329286798179,0
1,t0.95,2.5,0.6351963746223565,0
2,no_filter,1.5,0.6421809920484665,0
2,no_filter,2.0,0.6423841059602649,0
2,no_filter,2.5,0.6419934041773543,0
2,t0.80,1.5,0.6502793296089385,1
2,t0.80,2.0,0.6372075751949499,1
2,t0.80,2.5,0.6365638766519823,1
2,t0.90,1.5,0.6421809920484665,0
2,t0.90,2.0,0.6423841059602649,0
2,t0.90,2.5,0.6419934041773543,0
2,t0.95,1.5,0.6421809920484665,0
2,t0.95,2.0,0.6423841059602649,0
2,t0.95,2.5,0.6419934041773543,0
3,no_filter,1.5,0.6510903426791277,0
3,no_filter,2.0,0.6443104747550866,0
3,no_filter,2.5,0.6435307431158054,0
3,t0.80,1.5,0.6510903426791277,0
3,t0.80,2.0,0.6443104747550866,0
3,t0.80,2.5,0.6435307431158054,0
3,t0.90,1.5,0.6510903426791277,0
3,t0.90,2.0,0.6443104747550866,0
3,t0.90,2.5,0.6435307431158054,0
3,t0.95,1.5,0.6510903426791277,0
3,t0.95,2.0,0.6443104747550866,0
3,t0.95,2.5,0.6435307431158054,0
