seed,t,f1
1,0.1,0.5413929040735874
1,0.12,0.5565335138794855
1,0.14,0.5694282380396732
1,0.16,0.5825289575289575
1,0.18,0.5937733499377335
1,0.2,0.6072538860103627
1,0.22,0.617078410311493
1,0.24,0.6264926409330741
1,0.26,0.6326118326118326
1,0.28,0.634777376654633
1,0.3,0.6446124763705104
1,0.32,0.6490066225165563
1,0.34,0.6457399103139013
1,0.36,0.6420824295010846
1,0.38,0.6436609152288072
1,0.4,0.6391833529642716
1,0.42,0.6346863468634686
1,0.44,0.6285226302305722
1,0.46,0.6138790035587188
1,0.48,0.5885078776645042
1,0.5,0.5725301204819278
1,0.52,0.555333998005982
1,0.54,0.5418163160595177
1,0.56,0.5223404255319148
1,0.58,0.49531163816878104
1,0.6,0.4771057094403618
1,0.62,0.4478134110787172
1,0.64,0.4142512077294686
1,0.66,0.3903345724907063
1,0.68,0.36525047558655677
1,0.7,0.33529028049575993
2,0.1,0.5436507936507936
2,0.12,0.557980900409277
2,0.14,0.5716972261401034
2,0.16,0.58418243571082
2,0.18,0.6010544815465729
2,0.2,0.6094398340248963
2,0.22,0.6193929626645178
2,0.24,0.631021999443052
2,0.26,0.6416083916083916
2,0.28,0.6446130500758726
2,0.3,0.6517491333123228
2,0.32,0.6583769633507853
2,0.34,0.6630099417209462
2,0.36,0.6671464555595538
2,0.38,0.6666666666666666
2,0.4,0.6586407766990291
2,0.42,0.6439854191980559
2,0.44,0.6318009278785323
2,0.46,0.6189436927106067
2,0.48,0.6066393815370623
2,0.5,0.5947990543735224
2,0.52,0.5772994129158513
2,0.54,0.5575757575757576
2,0.56,0.5233050847457628
2,0.58,0.5019178082191781
2,0.6,0.478137421919364
2,0.62,0.4471830985915493
2,0.64,0.42009685230024213
2,0.66,0.385
2,0.68,0.36270753512132825
2,0.7,0.3328964613368283
3,0.1,0.5378078012638919
3,0.12,0.5519101123595506
3,0.14,0.5680390788555478
3,0.16,0.5824123017779913
3,0.18,0.5958291956305859
3,0.2,0.6071979434447301
3,0.22,0.6167776298268974
3,0.24,0.6298037047276749
3,0.26,0.6404365307294658
3,0.28,0.6508413461538461
3,0.3,0.6563584727043231
3,0.32,0.659672131147541
3,0.34,0.659843056977141
3,0.36,0.6612157838606469
3,0.38,0.6615158204562178
3,0.4,0.6579352850539292
3,0.42,0.6478418717224688
3,0.44,0.6371681415929203
3,0.46,0.6194456665200176
3,0.48,0.6110091743119266
3,0.5,0.5916429249762583
3,0.52,0.5666337611056268
3,0.54,0.556237218813906
3,0.56,0.5393971443680592
3,0.58,0.5150027277686852
3,0.6,0.4918401800787845
3,0.62,0.46503496503496505
3,0.64,0.4380610412926391
3,0.66,0.4112952731737262
3,0.68,0.3864491844416562
3,0.7,0.3597678916827853
